time	acceleration
9.94	0.0065260799
9.96	-0.0413998170
9.98	-0.0459884670
10.00	-0.0080556298
10.02	0.0171309590
10.04	0.0578169890
10.06	0.0094832099
10.08	-0.0056083498
10.10	0.0044866799
10.12	-0.0125423100
10.14	-0.0287555400
10.16	-0.0445608890
10.18	-0.0358934400
10.20	-0.0260023490
10.22	-0.0113186700
10.24	0.0209038490
10.26	0.0529224300
10.28	0.0870823790
10.30	0.1162458000
10.32	0.0747440110
10.34	0.0241668900
10.36	-0.0375249580
10.38	-0.0276338690
10.40	-0.0221274900
10.42	-0.0890198100
10.44	-0.0992168100
10.46	-0.0600603290
10.48	-0.0342619170
10.50	0.0078516895
10.52	0.0264102290
10.54	0.0518007570
10.56	0.0368111670
10.58	0.0082595701
10.60	-0.0057103197
10.62	-0.0213117290
10.64	-0.0323244900
10.66	-0.0242688580
10.68	-0.0383407170
10.70	-0.0560834980
10.72	-0.0736223340
10.74	-0.0818819100
10.76	-0.0533303070
10.78	-0.0346697990
10.80	-0.0011216700
10.82	0.0066280498
10.84	-0.0037728899
10.86	-0.0005098500
10.88	-0.0171309590
10.90	-0.0418076990
10.92	-0.0081575997
10.94	0.0080556298
10.96	0.0381367800
10.98	0.0627115480
11.00	0.0678100480
11.02	0.0259003790
11.04	-0.0058122896
11.06	-0.0483337800
11.08	-0.0363013170
11.10	-0.0247787080
11.12	-0.0048945600
11.14	0.0128482200
11.16	0.0386466300
11.18	0.0245747700
11.20	-0.0231471900
11.22	-0.0436431580
11.24	-0.0692376290
11.26	-0.0674021660
11.28	-0.0601622980
11.30	-0.0523106070
11.32	-0.0416037580
11.34	-0.0315087290
11.36	-0.0271240190
11.38	-0.0551657670
11.40	-0.0640371570
11.42	-0.0925887600
11.44	-0.1131867000
11.46	-0.0898355650
11.48	-0.0785168970
11.50	-0.0593465390
11.52	-0.0482318080
11.54	-0.0339560080
11.56	-0.0202920290
11.58	0.0020393999
11.60	0.0215156700
11.62	0.0440510390
11.64	0.0625076070
11.66	0.0782109840
11.68	0.0951380100
11.70	0.1091079000
11.72	0.1152261000
11.74	0.1213443000
11.76	0.1274625000
11.78	0.1356201000
11.80	0.1621322900
11.82	0.1835459900
11.84	0.2080187900
11.86	0.1264428000
11.88	0.0450707390
11.90	-0.0142758000
11.92	-0.0679120160
11.94	-0.0565933480
11.96	-0.0706652110
11.98	-0.1003384800
12.00	-0.1274625000
12.02	-0.1203246000
12.04	-0.1070685000
12.06	-0.0938123970
12.08	-0.0757637100
12.10	-0.0824937290
12.12	-0.0866744970
12.14	-0.0876941970
12.16	-0.0880001100
12.18	-0.0890198100
12.20	-0.0885099600
12.22	-0.0902434470
12.24	-0.0547578890
12.26	0.0053024396
12.28	0.0219235490
12.30	0.0249826490
12.32	0.0591425980
12.34	0.0320185790
12.36	0.0240649200
12.38	0.0494554480
12.40	0.0600603290
12.42	0.0535342480
12.44	0.0361993490
12.46	0.0200880900
12.48	0.0202920290
12.50	0.0501692390
12.52	0.0349757080
12.54	0.0293673580
12.56	0.0440510390
12.58	0.0243708290
12.60	0.0089733599
12.62	0.0078516895
12.64	-0.0150915600
12.66	-0.0078516895
12.68	-0.0019374299
12.70	0.0076477497
12.72	0.0044866799
12.74	-0.0147856490
12.76	-0.0322225190
12.78	-0.0245747700
12.80	-0.0028551599
12.82	0.0185585400
12.84	0.0434392170
12.86	0.0447648300
12.88	0.0522086390
12.90	0.0475180170
12.92	0.0488436300
12.94	0.0196802090
12.96	0.0226373400
12.98	0.0279397790
13.00	0.0400742080
13.02	0.0513928800
13.04	0.0588366890
13.06	0.0599583570
13.08	0.0838193340
13.10	0.0812700840
13.12	0.0967695280
13.14	0.0351796490
13.16	0.0045886498
13.18	-0.0125423100
13.20	-0.0353835900
13.22	-0.0434392170
13.24	-0.0424195170
13.26	-0.0280417490
13.28	-0.0275318990
13.30	0.0075457798
13.32	0.0436431580
13.34	-0.0235550700
13.36	-0.0394623890
13.38	-0.0084635099
13.40	0.0141738290
13.42	0.0453766480
13.44	0.0027531900
13.46	-0.0710730840
13.48	-0.0811681160
13.50	-0.0255944700
13.52	-0.0137659500
13.54	0.0080556298
13.56	-0.0117265500
13.58	-0.0255944700
13.60	-0.0339560080
13.62	-0.0274299290
13.64	-0.0306929690
13.66	-0.0203939990
13.68	-0.0068319896
13.70	-0.0038748598
13.72	0.0107068500
13.74	0.0301831190
13.76	0.0350776800
13.78	0.0975852840
13.80	0.0915690600
13.82	0.0182526290
13.84	-0.0369131390
13.86	-0.1013581800
13.88	-0.0822897840
13.90	-0.0758656790
13.92	-0.0549618300
13.94	-0.0336500990
13.96	-0.0130521600
13.98	0.0031610698
14.00	0.0150915600
14.02	0.0518007570
14.04	-0.0022433400
14.06	-0.0498633300
14.08	-0.0365052580
14.10	-0.0704612660
14.12	-0.0526165170
14.14	-0.0378308670
14.16	0.0089733599
14.18	0.0644450390
14.20	0.0857567650
14.22	0.1305216000
14.24	0.1417383000
14.26	0.1213443000
14.28	0.0765794660
14.30	0.0229432490
14.32	-0.0089733599
14.34	-0.0231471900
14.36	0.0075457798
14.38	0.0184565700
14.40	0.0554716800
14.42	0.0406860300
14.44	0.0045886498
14.46	-0.0083615395
14.48	-0.0188644490
14.50	-0.0020393999
14.52	0.0006118200
14.54	-0.0119304890
14.56	-0.0214136990
14.58	-0.0308969080
14.60	-0.0522086390
14.62	-0.0741321840
14.64	-0.0590406300
14.66	-0.0271240190
14.68	-0.0181506590
14.70	0.0040787999
14.72	0.0099930598
14.74	0.0139698890
14.76	0.0225353700
14.78	0.0445608890
14.80	0.0092792701
14.82	-0.0558795570
14.84	-0.0565933480
14.86	-0.0247787080
14.88	-0.0082595701
14.90	0.0254924990
14.92	0.0418076990
14.94	0.0185585400
14.96	-0.0027531900
14.98	-0.0247787080
15.00	-0.0015295499
15.02	0.0251865900
15.04	0.0491495390
15.06	0.0798425100
15.08	0.0634253390
15.10	0.0337520670
15.12	-0.0014275799
15.14	-0.0198841490
15.16	-0.0251865900
15.18	-0.0216176400
15.20	-0.0112167000
15.22	0.0050984998
15.24	0.0245747700
15.26	-0.0034669800
15.28	-0.0220255200
15.30	-0.0480278670
15.32	-0.0370151080
15.34	-0.0198841490
15.36	-0.0018354599
15.38	0.0173348990
15.40	-0.0081575997
15.42	0.0005098500
15.44	0.0234530990
15.46	0.0381367800
15.48	0.0612839660
15.50	0.0526165170
15.52	0.0440510390
15.54	0.0350776800
15.56	0.0514948480
15.58	0.0665864110
15.60	0.0696455110
15.62	0.0175388400
15.64	-0.0173348990
15.66	-0.0537381890
15.68	-0.0677080790
15.70	-0.0394623890
15.72	-0.0226373400
15.74	-0.0033650098
15.76	0.0121344290
15.78	-0.0130521600
15.80	-0.0357914670
15.82	-0.0524125800
15.84	-0.0341599490
15.86	-0.0222294580
15.88	-0.0012236400
15.90	0.0144797390
15.92	0.0071378998
15.94	-0.0064241100
15.96	-0.0122364000
15.98	-0.0328343400
16.00	-0.0352816170
16.02	-0.0092792701
16.04	0.0074438099
16.06	0.0315087290
16.08	0.0481298390
16.10	0.0614879070
16.12	0.0587347160
16.14	0.0336500990
16.16	-0.0074438099
16.18	-0.0792306840
16.20	-0.0619977570
16.22	-0.0446628580
16.24	-0.0213117290
